Id,Uid,Name,Country code,Country name,Country uid,Provider,Adm level,G0,G1,G2,G3,G4,Custom geo source
4183,gn_147435,Naxcivan Muxtar,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147435,,,,
4271,gn_8411069,Naxcivan Saheri,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_8411069,,,,
4213,gn_584742,Oguz,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_584742,,,,
4230,gn_585738,Qabala,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585738,,,,
4240,gn_586290,Qax,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586290,,,,
4237,gn_586087,Qazax,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586087,,,,
4260,gn_828301,Qobustan,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828301,,,,
4232,gn_585786,Quba,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585786,,,,
4189,gn_147694,Qubadli,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147694,,,,
4231,gn_585749,Qusar,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585749,,,,
4179,gn_147287,Saatli,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147287,,,,
4178,gn_147284,Sabirabad,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147284,,,,
4177,gn_147269,Salyan,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147269,,,,
4216,gn_585030,Samaxi,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585030,,,,
4220,gn_585059,Samkir,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585059,,,,
4261,gn_828302,Samux,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828302,,,,
4245,gn_586725,Shabran,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586725,,,,
4262,gn_828303,Shaki (city),AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828303,,,,
4217,gn_585031,Shaki (district),AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585031,,,,
4203,gn_409417,Shirvan,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_409417,,,,
4263,gn_828304,Siyazan,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828304,,,,
4264,gn_828305,Sumqayit Sahari,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828305,,,,
4205,gn_409419,Susa (city),AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_409419,,,,
4175,gn_147163,Susa (district),AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147163,,,,
4206,gn_409420,Tartar,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_409420,,,,
4215,gn_584861,Tovuz,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_584861,,,,
4214,gn_584783,Ucar,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_584783,,,,
4235,gn_586001,Xacmaz,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586001,,,,
4207,gn_409421,Xankandi Sahari,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_409421,,,,
4265,gn_828306,Xizi,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828306,,,,
4199,gn_148449,Xocali,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_148449,,,,
4208,gn_409423,Xocavand,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_409423,,,,
4174,gn_146962,Yardimli,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_146962,,,,
